Text,User
"une information malheureusement devenue ""banale"" dans la france de macron…",Cercle Aristote
"a midi midinews - samara montpellier «ma fille a été traitée de mécréante» - agression samara déni et lâcheté? - economies rentes : la « france des bas de laine » ciblée? - emeutes 9 mois après,quelles condamnations? justice - paris: la mise en garde de moscou",Mabrouk Sonia
:check_mark_button: enfin une loi qui va dans le bon sens ! elle contribuera à protéger les enfants et les familles de l'étalage de leur vie privée sur les réseaux sociaux. merci au député bruno studer d'aider les enfants à grandir en paix.,Le Syndicat de la Famille
"19h, ce soir, 30 mars, à face à bock-côté, sur cnews, j'aurai le grand plaisir de recevoir le philosophe pascal bruckner.",Mathieu Bock-Côté
"l'occasion de rappeler le chef-d'œuvre de nicole belloubet, qui a profité du covid pour libérer 12 000 prisonniers, ce que les français ont payé au prix fort. nicole belloubet est aujourd'hui ministre de l'éducation nationale.",Laurent Obertone
":red_circle:« il instrumentalise l’ukraine »… les réactions après la prise de parole d’emmanuel macron :speaking_head:macron s’est exprimé ce 6 juin sur tf1 et france 2. de quoi attiser la colère de ses opposants politiques, à 3 jours du scrutin pour les élections européennes.",Valeurs actuelles ن
il pensait être disruptif par rapport à ses prédécesseurs... nous ressort le coup du marqueur sociétal pour détourner l’attention sur son incapacité à s'occuper de nos vrais problèmes et à défendre la voix de la france à l’international.,Le Syndicat de la Famille
je suis pour l’expression de toutes les opinions dans le débat public mais je préfère quand c’est fait avec talent,Geoffroy Lejeune
européennes: la colère française s’exprimera-t-elle de nouveau dimanche? l'analyse d'ivan rioufol,Causeur.fr
":studio_microphone: à 18h et en direct, écoutez ""le libre journal de jacques trémolet de villers"" :speaking_head:""la nuit des rois"" et ""l'actualité"" avec hilaire de crémiers, directeur de la nouvelle revue universelle et conseiller éditorial de politique magazine :backhand_index_pointing_right: ou sur :satellite_antenna: fm 95.6",Radio Courtoisie
":clapping_hands: toutes mes félicitations à pour son résultat historique aux élections européennes2024 ! le message est clair : les français veulent rester français, dans une autre europe, et veulent reprendre en main la maîtrise de leur destin !",David Rachline
quel succès pour l'arrivée du père noël à hénin-beaumont ! la descente du père noël a eu lieu ce soir. un spectacle féerique qui a émerveillé les milliers de personnes venues devant l'hôtel de ville pour vivre ensemble la magie de noël.,Steeve Briois
